studyid,TCid,Var1id,Var1time,var1type,var1mul,Var2id,Var2time,var2type,var2mul,NumOppDir,ESmethod,r,n_r,mean_t,SD_t,n_t,mean_c,SD_c,n_c
16,1,1,0,1,NA,1,0,1,NA,0,NA,1,72,NA,NA,NA,NA,NA,NA
16,1,1,0,1,NA,MA.01,1,MA,1,0,NA,-0.162392979,70,11.5,5.9,35,13.3,5,35
16,1,1,0,1,NA,MA.02,1,MA,2,1,NA,0.067584367,70,81.1,19.8,35,78.3,21.5,35
16,1,1,0,1,NA,MC.01,1,MC,1,1,NA,0,71,2.4,0.5,37,2.4,0.4,34
16,1,1,0,1,NA,MC.02,1,MC,2,1,NA,0,71,2.6,0.5,36,2.6,0.5,35
16,1,1,0,1,NA,MC.03,1,MC,3,0,NA,-0.040369035,43,3.2,1.3,25,3.3,1.1,18
16,1,1,0,1,NA,ML2.01,1,ML2,1,0,NA,-0.048425495,69,34.5,17.5,35,36.1,15.4,34
16,1,1,0,1,NA,ML2.02,1,ML2,2,0,NA,-0.177085796,59,31,22.4,30,38.7,20.3,29
16,1,1,0,1,NA,ML2.03,1,ML2,3,0,NA,-0.1348343,70,30.1,17.1,35,35.6,22.9,35
16,1,1,0,1,NA,ML2.04,1,ML2,4,0,NA,-0.101984178,70,10.3,6.2,36,11.4,4.3,34
16,1,1,0,1,NA,ML2.05,1,ML2,5,0,NA,-0.075558517,56,9.9,6,31,10.9,7.2,25
16,1,1,0,1,NA,ML2.06,1,ML2,6,0,NA,-0.089790823,71,8.5,6.1,36,9.6,6.1,35
16,1,1,0,1,NA,ML2.07,1,ML2,7,0,NA,0,71,2.3,0.4,37,2.3,0.4,34
16,1,1,0,1,NA,ML2.08,1,ML2,8,0,NA,0.099493947,71,2.5,0.5,36,2.4,0.5,35
16,1,1,0,1,NA,ML2.09,1,ML2,9,0,NA,-0.109154,71,2.2,0.5,37,2.3,0.4,34
16,1,1,0,1,NA,ML2.10,1,ML2,10,0,NA,0.097312156,71,2.6,0.6,36,2.5,0.4,35
16,1,1,0,1,NA,ML2.11,1,ML2,11,0,NA,0.123925664,71,2,0.4,37,1.9,0.4,34
16,1,1,0,1,NA,ML2.12,1,ML2,12,0,NA,0.124022621,71,2.3,0.4,36,2.2,0.4,35
16,1,1,0,1,NA,ML2.13,1,ML2,13,0,NA,0,71,2.4,0.4,37,2.4,0.4,34
16,1,1,0,1,NA,ML2.14,1,ML2,14,0,NA,0.10992639,71,2.6,0.4,36,2.5,0.5,35
16,1,1,0,1,NA,ML2.15,1,ML2,15,0,NA,0.099463499,70,2.4,0.5,36,2.3,0.5,34
16,1,1,0,1,NA,ML2.16,1,ML2,16,0,NA,0.196116135,70,2.7,0.5,35,2.5,0.5,35
16,1,1,0,1,NA,ML2.17,1,ML2,17,0,NA,0,71,2.6,0.4,37,2.6,0.4,34
16,1,1,0,1,NA,ML2.18,1,ML2,18,0,NA,0.124022621,71,2.7,0.4,36,2.6,0.4,35
16,1,1,0,1,NA,ML2.19,1,ML2,19,0,NA,0,43,2.6,1.2,25,2.6,0.9,18
16,1,1,0,1,NA,O.01,1,O,1,0,NA,-0.087615058,72,24.3,8.1,37,25.7,7.8,35
16,1,1,0,1,NA,MA.01,3,MA,1,0,NA,-0.248880942,53,4.4,5.1,30,7,4.9,23
16,1,1,0,1,NA,MA.02,3,MA,2,1,NA,0.287601313,53,104.5,17.2,30,93.4,19.7,23
16,1,1,0,1,NA,MC.01,3,MC,1,1,NA,-0.286109821,62,2.2,0.4,34,2.5,0.6,28
16,1,1,0,1,NA,MC.02,3,MC,2,1,NA,-0.090509895,66,2.5,0.5,35,2.6,0.6,31
16,1,1,0,1,NA,ML2.01,3,ML2,1,0,NA,-0.111124353,53,29.7,16.8,30,33.5,16.9,23
16,1,1,0,1,NA,ML2.02,3,ML2,2,0,NA,-0.11658002,56,26.1,21.5,30,31,20,26
16,1,1,0,1,NA,ML2.03,3,ML2,3,0,NA,0.07337466,66,29.3,21.4,35,26.2,20.6,31
16,1,1,0,1,NA,ML2.04,3,ML2,4,0,NA,-0.042864337,53,8.6,5.6,30,9.1,6,23
16,1,1,0,1,NA,ML2.05,3,ML2,5,0,NA,-0.194635868,55,7.5,5.9,29,10,6.7,26
16,1,1,0,1,NA,ML2.06,3,ML2,6,0,NA,0.032241843,66,7.3,5.9,35,6.9,6.5,31
16,1,1,0,1,NA,ML2.07,3,ML2,7,0,NA,-0.241463771,62,2.2,0.4,34,2.4,0.4,28
16,1,1,0,1,NA,ML2.08,3,ML2,8,0,NA,-0.099322614,66,2.4,0.5,35,2.5,0.5,31
16,1,1,0,1,NA,ML2.09,3,ML2,9,0,NA,-0.241463771,62,2.1,0.4,34,2.3,0.4,28
16,1,1,0,1,NA,ML2.10,3,ML2,10,0,NA,-0.08950366,66,2.5,0.6,35,2.6,0.5,31
16,1,1,0,1,NA,ML2.11,3,ML2,11,0,NA,-0.384470306,62,1.7,0.4,34,2,0.3,28
16,1,1,0,1,NA,ML2.12,3,ML2,12,0,NA,0,66,2.1,0.4,35,2.1,0.4,31
16,1,1,0,1,NA,ML2.13,3,ML2,13,0,NA,-0.241463771,62,2.2,0.4,34,2.4,0.4,28
16,1,1,0,1,NA,ML2.14,3,ML2,14,0,NA,0,66,2.5,0.4,35,2.5,0.4,31
16,1,1,0,1,NA,ML2.15,3,ML2,15,0,NA,-0.348422346,53,2.1,0.4,30,2.4,0.4,23
16,1,1,0,1,NA,ML2.16,3,ML2,16,0,NA,-0.107229591,53,2.4,0.5,30,2.5,0.4,23
16,1,1,0,1,NA,ML2.17,3,ML2,17,0,NA,-0.137508628,62,2.5,0.4,34,2.6,0.3,28
16,1,1,0,1,NA,ML2.18,3,ML2,18,0,NA,-0.110315113,66,2.5,0.4,35,2.6,0.5,31
16,1,1,0,1,NA,O.01,3,O,1,0,NA,-0.199678059,68,5.7,8.6,35,9.8,11.4,33
16,1,MA.01,1,MA,1,MA.01,1,MA,1,0,NA,1,71,NA,NA,NA,NA,NA,NA
16,1,MA.01,1,MA,1,O.01,1,O,1,0,NA,0.5387,71,NA,NA,NA,NA,NA,NA
16,1,MA.02,1,MA,2,O.01,1,O,1,1,NA,-0.3406,71,NA,NA,NA,NA,NA,NA
16,1,MA.01,1,MA,1,MA.01,3,MA,1,0,NA,0.3573,65,NA,NA,NA,NA,NA,NA
16,1,MA.02,1,MA,2,MA.02,3,MA,2,2,NA,0.5907,64,NA,NA,NA,NA,NA,NA
16,1,MA.01,1,MA,1,O.01,3,O,1,0,NA,0.4169,65,NA,NA,NA,NA,NA,NA
16,1,MA.02,1,MA,2,O.01,3,O,1,1,NA,-0.3665,65,NA,NA,NA,NA,NA,NA
16,1,MC.01,1,MC,1,MC.01,1,MC,1,2,NA,1,71,NA,NA,NA,NA,NA,NA
16,1,MC.01,1,MC,1,O.01,1,O,1,1,NA,-0.1416,70,NA,NA,NA,NA,NA,NA
16,1,MC.02,1,MC,2,O.01,1,O,1,1,NA,0.0744,71,NA,NA,NA,NA,NA,NA
16,1,MC.01,1,MC,1,MC.01,3,MC,1,2,NA,0.6274,62,NA,NA,NA,NA,NA,NA
16,1,MC.02,1,MC,2,MC.02,3,MC,2,2,NA,0.5915,65,NA,NA,NA,NA,NA,NA
16,1,MC.01,1,MC,1,O.01,3,O,1,1,NA,0.0545,65,NA,NA,NA,NA,NA,NA
16,1,MC.02,1,MC,2,O.01,3,O,1,1,NA,0.1833,65,NA,NA,NA,NA,NA,NA
16,1,ML2.01,1,ML2,1,ML2.01,1,ML2,1,0,NA,1,69.05555556,NA,NA,NA,NA,NA,NA
16,1,ML2.01,1,ML2,1,O.01,1,O,1,0,NA,-0.1053,71,NA,NA,NA,NA,NA,NA
16,1,ML2.02,1,ML2,2,O.01,1,O,1,0,NA,0.088,59,NA,NA,NA,NA,NA,NA
16,1,ML2.03,1,ML2,3,O.01,1,O,1,0,NA,0.2085,70,NA,NA,NA,NA,NA,NA
16,1,ML2.04,1,ML2,4,O.01,1,O,1,0,NA,-0.1112,70,NA,NA,NA,NA,NA,NA
16,1,ML2.05,1,ML2,5,O.01,1,O,1,0,NA,0.0289,56,NA,NA,NA,NA,NA,NA
16,1,ML2.06,1,ML2,6,O.01,1,O,1,0,NA,0.1866,71,NA,NA,NA,NA,NA,NA
16,1,ML2.07,1,ML2,7,O.01,1,O,1,0,NA,-0.0452,70,NA,NA,NA,NA,NA,NA
16,1,ML2.08,1,ML2,8,O.01,1,O,1,0,NA,0.1235,71,NA,NA,NA,NA,NA,NA
16,1,ML2.09,1,ML2,9,O.01,1,O,1,0,NA,-0.0925,70,NA,NA,NA,NA,NA,NA
16,1,ML2.10,1,ML2,10,O.01,1,O,1,0,NA,0.1621,71,NA,NA,NA,NA,NA,NA
16,1,ML2.11,1,ML2,11,O.01,1,O,1,0,NA,0.0786,70,NA,NA,NA,NA,NA,NA
16,1,ML2.12,1,ML2,12,O.01,1,O,1,0,NA,-0.1039,71,NA,NA,NA,NA,NA,NA
16,1,ML2.13,1,ML2,13,O.01,1,O,1,0,NA,-0.0707,70,NA,NA,NA,NA,NA,NA
16,1,ML2.14,1,ML2,14,O.01,1,O,1,0,NA,0.2916,71,NA,NA,NA,NA,NA,NA
16,1,ML2.15,1,ML2,15,O.01,1,O,1,0,NA,-0.1267,70,NA,NA,NA,NA,NA,NA
16,1,ML2.16,1,ML2,16,O.01,1,O,1,0,NA,0.2373,71,NA,NA,NA,NA,NA,NA
