"","studyid","M_X","Y_X","Y_M","N"
"1",16,0.271525894826621,0.200424498033833,0.63245,58
"2",57,0.451452100058436,0.272837076202571,0.472,46.6666666666667
"3",78,NA,0.258558680636221,NA,21
"4",106,0.132166908160438,-0.0519506463832368,NA,15
"5",107,-0.00150092561809315,0.630931424189001,NA,15
"6",222,0.333517008104324,0.429829227192316,NA,23
"7",428,0.341635125276921,0.15317136843725,NA,23
"8",463,0.305842895393592,0.439653004009616,0.467591666666667,38.1666666666667
"9",586,-0.113430421368401,0.138331215744069,NA,57
"10",593,0.40185453084233,0.494202648560614,0.583,22
"11",711,0.0992440521050579,0.138966167511,0.428,20.5
"12",720,0.0268382392016951,0.14014746248491,0.396375,91
"13",811,0.30504518182035,0.299035177636048,-0.032387548,34.6666666666667
"14",840,0.260414155142829,0.122686985493585,NA,215
"15",844,0.102816138987156,0.213382401851921,0.558075,163.5
"16",845,0.0545191214770466,-0.0111750854331908,NA,212
"17",950,0.0839474006426184,0.26464236560083,0.6955,37.75
"18",971,0.0487923230981016,0.00297801756132611,0.36210839865625,184.05
"19",974,NA,0.0954667799417218,NA,344
"20",977,0.088802336517511,0.0515988850800475,0.2380264436,41.8571428571429
"21",7022,NA,0.141730040130094,NA,295.5
"22",10039,0.0855404746392122,0.108485643104963,0.578333333333333,187
"23",10064,0.19143576192105,0.427172669134909,0.47275,30
"24",10065,0.108409858892581,0.0747344135865199,NA,286.25
"25",10103,0.219785583151854,0.137127234301257,0.28716,109.2
"26",10114,0.0910934315289659,0.0674888295156125,0.18425,225.5
"27",10115,NA,0.13335237644883,NA,29
"28",10168,NA,0.0864132864008288,NA,20
