studyid,TCid,IPT,author,comparison,VarPair,n_r1,n_t,n_c,rga,yi,vi,CMA_O,CMB_O,CMC_O,CMD_O,CME_O,CML2_O,CML29_O
16,1,0,Brent et al. (1997),CBT-i v. AP,0_1_1_MA,70,35,35,0.113740738,0.22974503,0.057585385,0,0,0,0,0,0,0
16,1,0,Brent et al. (1997),CBT-i v. AP,0_1_1_MC,61.66666667,32.66666667,29,-0.013209075,-0.026796363,0.069472899,0,0,0,0,0,0,0
16,1,0,Brent et al. (1997),CBT-i v. AP,0_1_1_ML2,67.78947368,34.94736842,32.84210526,-0.012397596,-0.025059131,0.060465133,0,0,0,0,0,0,0
16,1,0,Brent et al. (1997),CBT-i v. AP,0_1_3_MA,53,30,23,0.26456074,0.553871873,0.07972318,0,0,0,0,0,0,0
16,1,0,Brent et al. (1997),CBT-i v. AP,0_1_3_MC,64,34.5,29.5,0.186130521,0.38621342,0.064515842,0,0,0,0,0,0,0
16,1,0,Brent et al. (1997),CBT-i v. AP,0_1_3_ML2,60.83333333,33,27.83333333,0.129527088,0.269643418,0.068029344,0,0,0,0,0,0,0
16,1,0,Brent et al. (1997),CBT-i v. AP,1_MA_1_MA,71,NA,NA,1,NA,NA,0,0,0,0,0,0,0
16,1,0,Brent et al. (1997),CBT-i v. AP,1_MA_1_O,71,NA,NA,0.43965,NA,NA,0,0,0,0,0,0,0
16,1,0,Brent et al. (1997),CBT-i v. AP,1_MA_3_MA,64.5,NA,NA,0.474,NA,NA,0,0,0,0,0,0,0
16,1,0,Brent et al. (1997),CBT-i v. AP,1_MA_3_O,65,NA,NA,0.3917,NA,NA,0,0,0,0,0,0,0
16,1,0,Brent et al. (1997),CBT-i v. AP,1_MC_1_MC,71,NA,NA,1,NA,NA,0,0,0,0,0,0,0
16,1,0,Brent et al. (1997),CBT-i v. AP,1_MC_1_O,70.5,NA,NA,-0.0336,NA,NA,0,0,0,0,0,0,0
16,1,0,Brent et al. (1997),CBT-i v. AP,1_MC_3_MC,63.5,NA,NA,0.60945,NA,NA,0,0,0,0,0,0,0
16,1,0,Brent et al. (1997),CBT-i v. AP,1_MC_3_O,65,NA,NA,0.1189,NA,NA,0,0,0,0,0,0,0
16,1,0,Brent et al. (1997),CBT-i v. AP,1_ML2_1_ML2,69.05555556,NA,NA,1,NA,NA,0,0,0,0,0,0,0
16,1,0,Brent et al. (1997),CBT-i v. AP,1_ML2_1_O,69.05555556,NA,NA,0.040011111,NA,NA,0,0,0,0,0,0,0
16,1,0,Brent et al. (1997),CBT-i v. AP,1_ML2_3_ML2,62.38888889,NA,NA,0.591188889,NA,NA,0,0,0,0,0,0,0
16,1,0,Brent et al. (1997),CBT-i v. AP,1_ML2_3_O,63.66666667,NA,NA,0.152972222,NA,NA,0,0,0,0,0,0,0
16,1,0,Brent et al. (1997),CBT-i v. AP,1_O_3_MA,64.5,NA,NA,0.4857,NA,NA,0,0,0,0,0,0,0
16,1,0,Brent et al. (1997),CBT-i v. AP,1_O_3_MC,63,NA,NA,0.10095,NA,NA,0,0,0,0,0,0,0
16,1,0,Brent et al. (1997),CBT-i v. AP,1_O_3_ML2,62.61111111,NA,NA,0.184011111,NA,NA,0,0,0,0,0,0,0
16,1,0,Brent et al. (1997),CBT-i v. AP,3_MA_3_MA,65.5,NA,NA,1,NA,NA,0,0,0,0,0,0,0
16,1,0,Brent et al. (1997),CBT-i v. AP,3_MA_3_O,65.5,NA,NA,0.63245,NA,NA,0,0,0,0,0,0,0
16,1,0,Brent et al. (1997),CBT-i v. AP,3_MC_3_MC,64,NA,NA,1,NA,NA,0,0,0,0,0,0,0
16,1,0,Brent et al. (1997),CBT-i v. AP,3_MC_3_O,63.5,NA,NA,0.26485,NA,NA,0,0,0,0,0,0,0
16,1,0,Brent et al. (1997),CBT-i v. AP,3_ME_3_ME,NA,NA,NA,1,NA,NA,0,0,0,0,0,0,0
16,1,0,Brent et al. (1997),CBT-i v. AP,3_ML2_3_ML2,63.61111111,NA,NA,1,NA,NA,0,0,0,0,0,0,0
16,1,0,Brent et al. (1997),CBT-i v. AP,3_ML2_3_O,62.88888889,NA,NA,0.2573,NA,NA,0,0,0,0,0,0,0
57,1,0,Kahn et al. (1990),CBT-g + P v. WL,0_1_1_MA,34,17,17,0.012026606,0.024054953,0.117655568,0,0,0,0,0,0,0
57,1,0,Kahn et al. (1990),CBT-g + P v. WL,0_1_3_MA,34,17,17,0.499703634,1.15378824,0.137223931,0,0,0,0,0,0,0
57,1,0,Kahn et al. (1990),CBT-g + P v. WL,1_MA_1_MA,34,NA,NA,1,NA,NA,0,0,0,0,0,0,0
57,4,0,Kahn et al. (1990),CBT-g + P v. WL,1_MA_1_O,34,NA,NA,0.272,NA,NA,0,0,0,0,0,0,0
57,4,0,Kahn et al. (1990),CBT-g + P v. WL,1_MA_3_MA,34,NA,NA,0.49,NA,NA,0,0,0,0,0,0,0
57,4,0,Kahn et al. (1990),CBT-g + P v. WL,1_MA_3_O,34,NA,NA,0.154,NA,NA,0,0,0,0,0,0,0
57,1,0,Kahn et al. (1990),CBT-g + P v. WL,1_MC_1_MC,NA,NA,NA,1,NA,NA,0,0,0,0,0,0,0
57,1,0,Kahn et al. (1990),CBT-g + P v. WL,1_ME_1_ME,NA,NA,NA,1,NA,NA,0,0,0,0,0,0,0
57,1,0,Kahn et al. (1990),CBT-g + P v. WL,1_ML2_1_ML2,NA,NA,NA,1,NA,NA,0,0,0,0,0,0,0
57,4,0,Kahn et al. (1990),CBT-g + P v. WL,1_O_3_MA,34,NA,NA,0.144,NA,NA,0,0,0,0,0,0,0
57,1,0,Kahn et al. (1990),CBT-g + P v. WL,3_MA_3_MA,34,NA,NA,1,NA,NA,0,0,0,0,0,0,0
57,4,0,Kahn et al. (1990),CBT-g + P v. WL,3_MA_3_O,34,NA,NA,0.472,NA,NA,0,0,0,0,0,0,0
57,1,0,Kahn et al. (1990),CBT-g + P v. WL,3_MC_3_MC,NA,NA,NA,1,NA,NA,0,0,0,0,0,0,0
57,1,0,Kahn et al. (1990),CBT-g + P v. WL,3_ME_3_ME,NA,NA,NA,1,NA,NA,0,0,0,0,0,0,0
57,1,0,Kahn et al. (1990),CBT-g + P v. WL,3_ML2_3_ML2,NA,NA,NA,1,NA,NA,0,0,0,0,0,0,0
78,1,0,Liddle & Spence (1990),CBT-g v. AP,0_1_1_MC,21,11,10,-0.120510424,-0.243066031,0.192315784,0,0,0,0,0,0,0
78,1,0,Liddle & Spence (1990),CBT-g v. AP,0_1_1_ME,21,11,10,0.14401611,0.291490156,0.192952864,0,0,0,0,0,0,0
78,1,0,Liddle & Spence (1990),CBT-g v. AP,0_1_3_MC,21,11,10,-0.041164623,-0.082492672,0.191071116,0,0,0,0,0,0,0
78,1,0,Liddle & Spence (1990),CBT-g v. AP,0_1_3_ME,21,11,10,0.054484788,0.109255624,0.1911933,0,0,0,0,0,0,0
78,1,0,Liddle & Spence (1990),CBT-g v. AP,1_MA_1_MA,NA,NA,NA,1,NA,NA,0,0,0,0,0,0,0
78,1,0,Liddle & Spence (1990),CBT-g v. AP,1_MC_1_MC,21,NA,NA,1,NA,NA,0,0,0,0,0,0,0
78,1,0,Liddle & Spence (1990),CBT-g v. AP,1_ME_1_ME,21,NA,NA,1,NA,NA,0,0,0,0,0,0,0
78,1,0,Liddle & Spence (1990),CBT-g v. AP,1_ML2_1_ML2,NA,NA,NA,1,NA,NA,0,0,0,0,0,0,0
78,1,0,Liddle & Spence (1990),CBT-g v. AP,3_MA_3_MA,NA,NA,NA,1,NA,NA,0,0,0,0,0,0,0
78,1,0,Liddle & Spence (1990),CBT-g v. AP,3_MC_3_MC,21,NA,NA,1,NA,NA,0,0,0,0,0,0,0
