"","studyid","M_X","Y_X","Y_M","N"
"1",16,0.275462500462607,0.202642643713283,0.63245,60.5
"2",57,0.459860967727965,0.338811037087883,0.472,48.4
"3",78,NA,0.271254306889414,NA,21
"4",106,0.14026950306348,-0.0738992285311702,NA,15
"5",107,-0.00187345607479227,0.668749481539298,NA,15
"6",222,0.352323968581904,0.447965553374063,NA,23
"7",428,0.35287650751223,0.158773049965421,NA,23
"8",463,0.3284420316812,0.476748941261872,0.467591666666667,37.3333333333333
"9",586,-0.114986777655237,0.142968415174257,NA,57
"10",593,0.432569631502908,0.581223316165534,0.583,22
"11",711,0.103335938374628,0.144970845639833,0.428,20.5
"12",720,0.0272909203503192,0.141931265403781,0.396375,91
"13",811,0.313912712117173,0.304539605160278,-0.032387548,36
"14",840,0.261272645482494,0.123114452332464,NA,215
"15",844,0.104094861600758,0.217195276776151,0.558075,165.375
"16",845,0.0548078376169078,-0.0112144293855905,NA,213
"17",950,0.0884471021209908,0.273507761903461,0.6955,37.75
"18",971,0.049090816109353,0.00299981154274802,0.36210839865625,183.75
"19",974,NA,0.095674830949855,NA,344
"20",977,0.0904538814575349,0.0531737543138905,0.2380264436,42.4
"21",7022,NA,0.142098938166102,NA,295.5
"22",10039,0.0858865782654854,0.109211802548321,0.578333333333333,187
"23",10064,0.196835176088419,0.450797309279378,0.47275,30
"24",10065,0.108880303861735,0.0750586041243192,NA,286.25
"25",10103,0.221648808385225,0.138400298649592,0.28716,109.583333333333
"26",10114,0.0914433661687541,0.0681589937870844,0.18425,225.5
"27",10115,NA,0.140934576092389,NA,29
"28",10168,NA,0.0975934597857028,NA,20
