"","studyid","M_X","Y_X","Y_M","N"
"1",16,0.271694213928604,0.200424498033833,0.63245,60.5
"2",57,0.453107375540221,0.333323762996348,0.472,48.4
"3",78,NA,0.261158481604941,NA,21
"4",106,0.132166908160438,-0.0671262440212027,NA,15
"5",107,-0.00176325312961103,0.64612540362414,NA,15
"6",222,0.339280834091374,0.433858028168374,NA,23
"7",428,0.341635125276921,0.15317136843725,NA,23
"8",463,0.322174169928828,0.469095537477639,0.467591666666667,37.3333333333333
"9",586,-0.113432022550235,0.141049172389756,NA,57
"10",593,0.419074462183849,0.566324182566641,0.583,22
"11",711,0.0992440521050579,0.138966167511,0.428,20.5
"12",720,0.0270604624548141,0.140755708595069,0.396375,91
"13",811,0.306763099952022,0.299035177636048,-0.032387548,36
"14",840,0.260414155142829,0.122686985493585,NA,215
"15",844,0.103622297511472,0.216272032087283,0.558075,165.375
"16",845,0.0546133512870239,-0.0111750854331908,NA,213
"17",950,0.0864422642400252,0.268127859636342,0.6955,37.75
"18",971,0.0488874650717931,0.0029858617486897,0.36210839865625,183.75
"19",974,NA,0.0954667799417218,NA,344
"20",977,0.088802336517511,0.052013434604479,0.2380264436,42.4
"21",7022,NA,0.141742327740045,NA,295.5
"22",10039,0.0855404746392122,0.108773709029093,0.578333333333333,187
"23",10064,0.191713446346906,0.441009568394717,0.47275,30
"24",10065,0.108584396567404,0.0748542430463601,NA,286.25
"25",10103,0.220147539929215,0.137464188625421,0.28716,109.583333333333
"26",10114,0.0910983344819196,0.0679536140268218,0.18425,225.5
"27",10115,NA,0.137058417065348,NA,29
"28",10168,NA,0.0935066357936269,NA,20
