"","studyid","M_X","Y_X","Y_M","N"
"1",16,-0.584972613414444,-0.510938080644563,0.63245,58
"2",57,-0.775314737754326,-0.376505357804555,0.472,46.6666666666667
"3",78,NA,-0.390080442162536,NA,21
"4",106,-0.177719843224335,0.042229327739979,NA,15
"5",107,0.00179882990914126,-0.735992815698406,NA,15
"6",222,-0.490405356947116,-0.61386396524733,NA,23
"7",428,-0.521401543632636,-0.252129403283902,NA,23
"8",463,-0.521596768303748,-0.651488380864872,0.467591666666667,38.1666666666667
"9",586,0.290403780244905,-0.31794337224645,NA,57
"10",593,-0.564213597805817,-0.63732587746956,0.583,22
"11",711,-0.158094976331554,-0.214654980691339,0.428,20.5
"12",720,-0.082920337794143,-0.417129961485432,0.396375,91
"13",811,-0.530032313645404,-0.571714551307477,-0.032387548,34.6666666666667
"14",840,-0.813076994637509,-0.539133305543849,NA,215
"15",844,-0.383786380510039,-0.65693686805195,0.558075,163.5
"16",845,-0.261037264107992,0.0579077910419055,NA,212
"17",950,-0.156090514641737,-0.496096171768768,0.6955,37.75
"18",971,-0.218886001709628,-0.0125886137038884,0.36210839865625,184.05
"19",974,NA,-0.53209071728469,NA,344
"20",977,-0.201403172005139,-0.105136826694191,0.2380264436,41.8571428571429
"21",7022,NA,-0.655432353242761,NA,295.5
"22",10039,-0.382946418138021,-0.449283714044132,0.578333333333333,187
"23",10064,-0.350054211789414,-0.651658121725084,0.47275,30
"24",10065,-0.527572901646509,-0.392477963194051,NA,286.25
"25",10103,-0.631605448292221,-0.448811498498385,0.28716,109.2
"26",10114,-0.414784173097827,-0.302735271159814,0.18425,225.5
"27",10115,NA,-0.231738450895144,NA,29
"28",10168,NA,-0.121215390006993,NA,20
