"","studyid","M_X","Y_X","Y_M","N"
"1",16,-0.579265948249816,-0.506612124866693,0.63245,58
"2",57,-0.769789249448877,-0.375532803625995,0.472,46.6666666666667
"3",78,NA,-0.377266113165464,NA,21
"4",106,-0.167568176444038,0.0403131219143859,NA,15
"5",107,0.00174419479961105,-0.716065016491594,NA,15
"6",222,-0.476242386114702,-0.599292015573325,NA,23
"7",428,-0.507476024616568,-0.243566438202785,NA,23
"8",463,-0.515106937042932,-0.647225422349922,0.467591666666667,38.1666666666667
"9",586,0.286755460129893,-0.314822242855759,NA,57
"10",593,-0.551286758591656,-0.626413014964003,0.583,22
"11",711,-0.151920096358072,-0.205977974078431,0.428,20.5
"12",720,-0.0823439227792127,-0.414404517558446,0.396375,91
"13",811,-0.520557400559611,-0.563993829925593,-0.032387548,34.6666666666667
"14",840,-0.812102180014043,-0.537783078597993,NA,215
"15",844,-0.382585880026126,-0.655507470357994,0.558075,163.5
"16",845,-0.260235340221979,0.0577052835838255,NA,212
"17",950,-0.153411038262576,-0.488725197331346,0.6955,37.75
"18",971,-0.218084657568898,-0.0125361280630736,0.36210839865625,184.05
"19",974,NA,-0.531252822936348,NA,344
"20",977,-0.197842762119941,-0.103085683037065,0.2380264436,41.8571428571429
"21",7022,NA,-0.654476012066447,NA,295.5
"22",10039,-0.381618624558735,-0.447939484852503,0.578333333333333,187
"23",10064,-0.3417832363667,-0.642394021521776,0.47275,30
"24",10065,-0.526604900864879,-0.391650528230362,NA,286.25
"25",10103,-0.628935636799006,-0.446445557871182,0.28716,109.2
"26",10114,-0.413480059430866,-0.302153817167636,0.18425,225.5
"27",10115,NA,-0.22659069442383,NA,29
"28",10168,NA,-0.117814936468587,NA,20
